Dataset ID,File Path,File Size Bytes,SHA256,Integrity Status,Raw Lock Status
DS0001,raw/DS0001/artifact_face_subset_50k.zip,572827984,4dfa2fffef48766f5f722384356a1663c378c5206462aa0c7521fd268f853463,checksummed,immutable_pack
DS0001,raw/DS0001/metadata.csv,7009583,2bcc8ab12824cf4c334648a35a39db3e846264cf80d9071d1c1cb580bca59074,checksummed,immutable_pack
DS0002,raw/DS0002/test/FE/CoDiff.zip,346609273,cacd6b6731497501ec8598fc974b6f6b7f75b8a7a668e6264990666a74d2160a,checksummed,source_archives_immutable
DS0002,raw/DS0002/test/FE/cycle_diff.zip,2489368476,200108b8ae19e1f154db9e5a5253af41325bee16ed1ac97012821c1207ce221a,checksummed,source_archives_immutable
DS0002,raw/DS0002/test/FE/Imagic.zip,1701256378,1c303c40dec1053d8a3e168fbf5afe76b55bba1cf949d0602c00ea92b8f7cd80,checksummed,source_archives_immutable
DS0002,raw/DS0002/test/FS/DCFace.zip,26768978,9ee9ab4e7d63280f0171498cad1049efe54a2dba969479d7359143768a8b05b9,checksummed,source_archives_immutable
DS0002,raw/DS0002/test/FS/DiffFace.zip,148506109,402cb75dcb3854048f077774ea1370de12a9a4e86a17bb1632997fc2736e98be,checksummed,source_archives_immutable
DS0002,raw/DS0002/test/I2I/DreamBooth.zip,1918514729,80ae5223dc10a406931ad127920e6756143c13f3cd2be602d863f878680980aa,checksummed,source_archives_immutable
DS0002,raw/DS0002/test/I2I/FreeDoM_I.zip,197181258,9cccdaa51b85aaef507e01a733a48893a0aac9471aa860498c2ab3bfb36b743a,checksummed,source_archives_immutable
DS0002,raw/DS0002/test/I2I/LoRA.zip,1265160729,0d218d56ddb41b477b26b945d8ce6bfa2d2ed9ed9185ef21e9b7bb021d99a98f,checksummed,source_archives_immutable
DS0002,raw/DS0002/test/I2I/SDXL_Refine.zip,3051608227,d2f8c36b423873b8437d836fd703c0316daebddeec4b0b78dab3e342f53c1467,checksummed,source_archives_immutable
DS0002,raw/DS0002/test/T2I/FreeDoM_T.zip,201231353,49769206fe20be4a72b7e7599b1274a80e6bb906c145618e07e2aadeb719110b,checksummed,source_archives_immutable
DS0002,raw/DS0002/test/T2I/HPS.zip,1996644797,4126f4d057a3e624859170f53fdd6ab6bedb73c9717f474916fdf2af13213fb9,checksummed,source_archives_immutable
DS0002,raw/DS0002/test/T2I/Midjourney.zip,3122351021,69116f2becee78cf2c56f1ef61c35baca675b499cb2cc1ead9df8cd9238797b1,checksummed,source_archives_immutable
DS0002,raw/DS0002/test/T2I/SDXL.zip,3335020017,fed003f122eb6ee225391c99e1c10498dd04e53f05bba8f8b57364f74bc21611,checksummed,source_archives_immutable
DS0004,raw/DS0004/real/raise_1k_jpeg.zip,3428131131,8c62fd717324e66d3e3bda83e6b3ab4811e9125d48d1ef81aeea9f22f9679e6c,checksummed,source_archives_immutable
DS0004,raw/DS0004/synthetic/synthbuster.zip,12372557226,bd136bec868ff1e8b851186cf23072b264864f3965bc2df689f67a489e970a25,checksummed,source_archives_immutable
DS0005,raw/DS0005/fairface-img-margin025-trainval.zip,578232678,654c9b042def71b70a63b4920b05ced0a5489dcfaee75ca5ab5f5583fe451801,checksummed,source_files_immutable
DS0005,raw/DS0005/fairface_label_train.csv,3793020,90624451f2214ae1aa84021ae51c19ce45a375bd0bff901b935feadc59514795,checksummed,source_files_immutable
DS0005,raw/DS0005/fairface_label_val.csv,447631,19906f6917373dc19385e23ff0bacb75767fd0f99569ae6201d268af33d4c96b,checksummed,source_files_immutable
DS0003,kaggle:xhlulu/140k-real-and-fake-faces,,external_kaggle_dataset_no_local_archive_hash,access_confirmed_pending_sample_checksum,immutable_on_kaggle_input
